number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,average price,special requests,booking status
2,0,0,2,Meal Plan 1,0,Room_Type 1,177,Offline,100,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,172,Offline,95,0,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,105,Online,108,1,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,143,Online,100.3,0,Canceled
3,0,1,1,Meal Plan 1,0,Room_Type 1,33,Corporate,95,0,Not_Canceled
1,0,2,4,Meal Plan 1,0,Room_Type 1,69,Offline,120,0,Canceled
2,2,0,1,Meal Plan 1,0,Room_Type 6,0,Online,181,0,Canceled
2,1,2,1,Meal Plan 1,0,Room_Type 4,127,Offline,94.78,2,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,317,Offline,120,0,Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,137,Online,107.95,0,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,5,Online,167,0,Canceled
2,1,1,2,Meal Plan 2,0,Room_Type 1,62,Online,111.88,1,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 5,151,Offline,200,0,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 4,14,Online,148.5,0,Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,258,Offline,110,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,211,Online,100,0,Canceled
1,0,0,3,Meal Plan 2,0,Room_Type 1,13,Offline,73,0,Not_Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,10,Online,119,0,Canceled
3,0,3,5,Meal Plan 1,0,Room_Type 4,82,Online,150.3,2,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2,Complementary,0,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,1,Corporate,65,0,Canceled
1,1,2,1,Not Selected,0,Room_Type 1,6,Offline,71.2,1,Not_Canceled
2,1,1,2,Meal Plan 1,0,Room_Type 4,48,Online,138.6,1,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,101,Online,107.1,0,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,29,Online,98.98,2,Not_Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,98,Online,124.2,1,Not_Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,124,Online,146.03,3,Not_Canceled
2,1,2,5,Meal Plan 1,0,Room_Type 1,177,Online,125.1,1,Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,159,Online,133.2,1,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,0,Online,158,1,Canceled
2,0,0,3,Not Selected,0,Room_Type 1,8,Online,116.67,1,Not_Canceled
2,0,1,2,Meal Plan 1,1,Room_Type 1,58,Online,108.9,0,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 6,159,Online,187.85,0,Canceled
2,0,2,7,Meal Plan 1,0,Room_Type 1,80,Online,63.46,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,28,Online,89,1,Not_Canceled
1,0,1,0,Not Selected,0,Room_Type 1,5,Online,149,2,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,34,Corporate,65,0,Canceled
3,1,0,2,Meal Plan 1,0,Room_Type 4,174,Online,166.7,2,Canceled
2,1,0,3,Meal Plan 1,0,Room_Type 1,151,Online,143.28,1,Canceled
2,0,1,1,Not Selected,0,Room_Type 1,105,Online,107.1,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,96,Online,94.67,2,Not_Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,0,Offline,110,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,51,Online,87.3,1,Not_Canceled
2,0,2,3,Meal Plan 2,0,Room_Type 1,170,Offline,300,0,Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 1,84,Online,103.72,2,Not_Canceled
1,0,0,1,Not Selected,0,Room_Type 1,0,Online,81,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,377,Offline,115,1,Canceled
2,2,0,3,Meal Plan 1,0,Room_Type 6,67,Online,168.9,0,Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,87,0,Not_Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,117,Online,146.7,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,105,Offline,75,0,Canceled
2,0,1,3,Meal Plan 2,0,Room_Type 1,178,Offline,106.25,1,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,109,Offline,90.96,1,Not_Canceled
2,1,2,3,Meal Plan 1,0,Room_Type 1,68,Online,109.65,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,15,Corporate,81,0,Not_Canceled
2,2,0,3,Meal Plan 1,0,Room_Type 6,45,Online,204,2,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,193,Offline,120,0,Canceled
1,0,2,0,Meal Plan 1,0,Room_Type 1,11,Online,70.3,1,Not_Canceled
2,1,2,0,Meal Plan 1,0,Room_Type 1,62,Online,152.1,1,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,113,Online,89.4,0,Canceled
3,0,2,3,Meal Plan 1,0,Room_Type 4,53,Offline,167.22,1,Not_Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,82,Online,109.65,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,17,Corporate,67,0,Canceled
3,0,2,3,Meal Plan 1,0,Room_Type 1,60,Offline,41.76,1,Not_Canceled
2,1,1,1,Meal Plan 1,0,Room_Type 1,65,Online,152.1,0,Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 4,69,Online,149.4,1,Canceled
1,0,3,7,Meal Plan 1,0,Room_Type 1,313,Online,77.69,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,308,Offline,52,0,Canceled
2,0,2,8,Meal Plan 1,0,Room_Type 4,78,Online,83.85,1,Not_Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,163,Offline,100,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,9,Online,155.08,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,1,Corporate,65,1,Not_Canceled
2,0,2,4,Meal Plan 1,0,Room_Type 1,175,Online,90.9,2,Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,163,Offline,100,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,24,Corporate,50,0,Not_Canceled
1,0,1,1,Not Selected,0,Room_Type 1,163,Online,91.63,1,Not_Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,309,Offline,101,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,56,Offline,120,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,245,Offline,75,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,15,Online,200,2,Not_Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,315,Offline,160,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,109,0,Not_Canceled
2,1,1,1,Meal Plan 1,0,Room_Type 1,14,Online,134,1,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,12,Online,178.5,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,60,Online,71.4,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,64,Online,149.4,0,Canceled
1,0,3,6,Not Selected,0,Room_Type 1,12,Online,71.87,1,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,250,Offline,95,0,Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,36,Online,107.1,1,Canceled
2,0,0,2,Not Selected,1,Room_Type 1,0,Online,80,1,Not_Canceled
1,0,2,3,Meal Plan 1,0,Room_Type 1,269,Offline,70,0,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,24,Online,0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,213,Offline,130,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,0,Complementary,0,1,Not_Canceled
1,0,1,0,Not Selected,0,Room_Type 1,131,Online,108,0,Canceled
1,0,1,3,Meal Plan 1,0,Room_Type 1,3,Corporate,65,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,276,Offline,116.33,0,Canceled
2,0,2,1,Not Selected,0,Room_Type 1,145,Online,60.98,0,Not_Canceled
1,0,0,1,Not Selected,0,Room_Type 1,20,Offline,85,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,92,Offline,100,0,Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 4,195,Online,112.2,2,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,91,Online,105.3,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,159,Online,94.5,0,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 4,83,Online,132.3,2,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,38,Online,88.8,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,273,Offline,95,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,157,Offline,112,0,Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 1,254,Online,90.95,0,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,218,Offline,80,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,218,Online,90.95,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,11,Corporate,90,0,Canceled
